GTF_tag,Locus_tag,Gene_name,Product
gene-Rv2427A,Rv2427A,ocyR,"Transcriptional regulator OxyR', pseudogene"
gene-Rv2428,Rv2428,ahpC,Alkyl hydroperoxide reductase C protein AhpC (alkyl hydroperoxidase C)
gene-Rv2429,Rv2429,ahpD,Alkyl hydroperoxide reductase D protein AhpD (alkyl hydroperoxidase D)
gene-Rv2430c,Rv2430c,PPE41,PPE family protein PPE41
gene-Rv2431c,Rv2431c,PE25,PE family protein PE25
gene-Rv2432c,Rv2432c,Rv2432c,Hypothetical protein
gene-Rv2433c,Rv2433c,Rv2433c,Hypothetical protein
gene-Rv2434c,Rv2434c,Rv2434c,Probable conserved transmembrane protein
gene-Rv2435c,Rv2435c,Rv2435c,Probable cyclase (adenylyl- or guanylyl-)(adenylate- or guanylate-)
gene-Rv2436,Rv2436,rbsK,Ribokinase RbsK
gene-Rv2437,Rv2437,Rv2437,Conserved transmembrane protein
gene-Rv2438c,Rv2438c,nadE,Glutamine-dependent NAD(+) synthetase NadE (NAD(+) synthase [glutamine-hydrolysing])
gene-Rv2438A,Rv2438A,Rv2348A,Conserved hypothetical protein
gene-Rv2439c,Rv2439c,proB,Probable glutamate 5-kinase protein ProB (gamma-glutamyl kinase) (GK)
gene-Rv2440c,Rv2440c,obg,Probable GTP1/Obg-family GTP-binding protein Obg
gene-Rv2441c,Rv2441c,rpmA,50S ribosomal protein L27 RpmA
gene-Rv2442c,Rv2442c,rplU,50S ribosomal protein L21 RplU
gene-Rv2443,Rv2443,dctA,Probable C4-dicarboxylate-transport transmembrane protein DctA
gene-Rv2444c,Rv2444c,rne,Possible ribonuclease E Rne
gene-Rv2445c,Rv2445c,ndkA,Probable nucleoside diphosphate kinase NdkA (NDK) (NDP kinase) (nucleoside-2-P kinase)
gene-Rv2446c,Rv2446c,Rv2446c,Probable conserved integral membrane protein
gene-Rv2447c,Rv2447c,folC,Probable folylpolyglutamate synthase protein FolC (folylpoly-gamma-glutamate synthetase) (FPGS)
gene-Rv2448c,Rv2448c,valS,Probable valyl-tRNA synthase protein ValS (valyl-tRNA synthetase) (valine--tRNA ligase) (valine translase)
gene-Rv2449c,Rv2449c,Rv2449c,Conserved protein
gene-Rv2450c,Rv2450c,rpfE,Probable resuscitation-promoting factor RpfE
gene-Rv2451,Rv2451,Rv2451,Hypothetical proline and serine rich protein
gene-Rv2452c,Rv2452c,Rv2452c,Hypothetical protein
gene-Rv2453c,Rv2453c,mobA,Probable molybdopterin-guanine dinucleotide biosynthesis protein A MobA
gene-Rv2454c,Rv2454c,Rv2454c,Probable oxidoreductase (beta subunit)
gene-Rv2455c,Rv2455c,Rv2455c,Probable oxidoreductase (alpha subunit)
gene-Rv2456c,Rv2456c,Rv2456c,Probable conserved integral membrane transport protein
gene-Rv2457c,Rv2457c,clpX,Probable ATP-dependent CLP protease ATP-binding subunit ClpX
gene-Rv2458,Rv2458,mmuM,Probable homocysteine S-methyltransferase MmuM (S-methylmethionine:homocysteine methyltransferase) (cysteine methyltransferase)
gene-Rv2459,Rv2459,Rv2459,Probable conserved integral membrane transport protein
gene-Rv2460c,Rv2460c,clpP2,Probable ATP-dependent CLP protease proteolytic subunit 2 ClpP2 (endopeptidase CLP 2)
gene-Rv2461c,Rv2461c,clpP1,Probable ATP-dependent CLP protease proteolytic subunit 1 ClpP1 (endopeptidase CLP)
gene-Rv2462c,Rv2462c,tig,Probable trigger factor (TF) protein Tig
gene-Rv2463,Rv2463,lipP,Probable esterase/lipase LipP
gene-Rv2464c,Rv2464c,Rv2464c,Possible DNA glycosylase
gene-Rv2465c,Rv2465c,rpiB,Ribose-5-phosphate isomerase
gene-Rv2466c,Rv2466c,Rv2466c,Conserved protein
gene-Rv2467,Rv2467,pepN,Probable aminopeptidase N PepN (Lysyl aminopeptidase) (LYS-AP) (alanine aminopeptidase)
gene-Rv2468c,Rv2468c,Rv2468A,Conserved protein
gene-Rv2468A,Rv2468A,Rv2468c,Conserved protein
gene-Rv2469c,Rv2469c,Rv2469c,Conserved hypothetical protein
gene-Rv2470,Rv2470,glbO,Globin (oxygen-binding protein) GlbO
gene-Rv2471,Rv2471,aglA,Probable alpha-glucosidase AglA (maltase) (glucoinvertase) (glucosidosucrase) (maltase-glucoamylase) (lysosomal alpha-glucosidase) (acid maltase)
gene-Rv2472,Rv2472,Rv2472,Conserved hypothetical protein
gene-Rv2473,Rv2473,Rv2473,Possible alanine and proline rich membrane protein
gene-Rv2474c,Rv2474c,Rv2474c,Conserved hypothetical protein
gene-Rv2475c,Rv2475c,Rv2475c,Conserved protein
gene-Rv2476c,Rv2476c,gdh,Probable NAD-dependent glutamate dehydrogenase Gdh (NAD-Gdh) (NAD-dependent glutamic dehydrogenase)
gene-Rv2477c,Rv2477c,Rv2477c,Probable macrolide-transport ATP-binding protein ABC transporter
gene-Rv2478c,Rv2478c,Rv2478c,Conserved hypothetical protein
gene-Rv2479c,Rv2479c,Rv2479c,Probable transposase
gene-Rv2480c,Rv2480c,Rv2480c,Possible transposase for insertion sequence element IS6110 (fragment)
gene-Rv2481c,Rv2481c,Rv2481c,Hypothetical protein
gene-Rv2482c,Rv2482c,plsB2,Probable glycerol-3-phosphate acyltransferase PlsB2 (GPAT)
gene-Rv2483c,Rv2483c,plsC,Possible transmembrane phospholipid biosynthesis bifunctional enzyme PlsC: putative L-3-phosphoserine phosphatase (O-phosphoserine phosphohydrolase) (PSP) (pspase) + 1-acyl-SN-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (lysophosphatidic acid acyltransferase) (LPAAT)
gene-Rv2484c,Rv2484c,Rv2484c,Possible triacylglycerol synthase (diacylglycerol acyltransferase)
gene-Rv2485c,Rv2485c,lipQ,Probable carboxylesterase LipQ
gene-Rv2486,Rv2486,echA14,Probable enoyl-CoA hydratase EchA14 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv2487c,Rv2487c,PE-PGRS42,PE-PGRS family protein PE_PGRS42
gene-Rv2488c,Rv2488c,Rv2488c,Probable transcriptional regulatory protein (LuxR-family)
gene-Rv2489c,Rv2489c,Rv2489c,Hypothetical alanine rich protein
gene-Rv2490c,Rv2490c,PE-PGRS43,PE-PGRS family protein PE_PGRS43
gene-Rv2491,Rv2491,Rv2491,Conserved hypothetical protein
gene-Rv2492,Rv2492,Rv2492,Hypothetical protein
gene-Rv2493,Rv2493,vapB38,Possible antitoxin VapB38
gene-Rv2494,Rv2494,vapC38,Possible toxin VapC38. Contains PIN domain.
gene-Rv2495c,Rv2495c,bkdC,Probable branched-chain keto acid dehydrogenase E2 component BkdC
gene-Rv2496c,Rv2496c,bkdB,"Probable branched-chain keto acid dehydrogenase E1 component, beta subunit BkdB"
gene-Rv2497c,Rv2497c,bkdA,"Probable branched-chain keto acid dehydrogenase E1 component, alpha subunit BkdA"
gene-Rv2498c,Rv2498c,citE,Probable citrate (pro-3S)-lyase (beta subunit) CitE (citrase) (citratase) (citritase) (citridesmolase) (citrase aldolase)
gene-Rv2499c,Rv2499c,Rv2499c,Possible oxidase regulatory-related protein
gene-Rv2500c,Rv2500c,fadE19,Possible acyl-CoA dehydrogenase FadE19 (MMGC)
gene-Rv2501c,Rv2501c,accA1,Probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA1: biotin carboxylase + biotin carboxyl carrier protein (BCCP)
gene-Rv2502c,Rv2502c,accD1,Probable acetyl-/propionyl-CoA carboxylase (beta subunit) AccD1
gene-Rv2503c,Rv2503c,scoB,Probable succinyl-CoA:3-ketoacid-coenzyme A transferase (beta subunit) ScoB (3-oxo-acid:CoA transferase) (OXCT B) (succinyl CoA:3-oxoacid CoA-transferase)
gene-Rv2504c,Rv2504c,scoA,Probable succinyl-CoA:3-ketoacid-coenzyme A transferase (alpha subunit) ScoA (3-oxo acid:CoA transferase) (OXCT A) (succinyl-CoA:3-oxoacid-coenzyme A transferase)
gene-Rv2505c,Rv2505c,fadD35,Probable fatty-acid-CoA ligase FadD35 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv2506,Rv2506,Rv2506,Probable transcriptional regulatory protein (probably TetR-family)
gene-Rv2507,Rv2507,Rv2507,Possible conserved proline rich membrane protein
gene-Rv2508c,Rv2508c,Rv2508c,Probable conserved integral membrane leucine and alanine rich protein
gene-Rv2509,Rv2509,Rv2509,Probable short-chain type dehydrogenase/reductase
gene-Rv2510c,Rv2510c,Rv2510c,Conserved protein
gene-Rv2511,Rv2511,orn,Oligoribonuclease Orn
gene-Rv2512c,Rv2512c,Rv2512A,Transposase for insertion sequence element IS1081
gene-Rv2513,Rv2513,Rv2513,Hypothetical protein
gene-Rv2514c,Rv2514c,Rv2514c,Conserved hypothetical protein
gene-Rv2515c,Rv2515c,Rv2515c,Conserved hypothetical protein
gene-Rv2516c,Rv2516c,Rv2516c,Hypothetical protein
gene-Rv2517c,Rv2517c,Rv2517c,Unknown protein
gene-Rv2518c,Rv2518c,ldtB,"Probable L,D-transpeptidase LdtB"
gene-Rv2519,Rv2519,PE26,PE family protein PE26
gene-Rv2520c,Rv2520c,Rv2520c,Possible conserved membrane protein
gene-Rv2521,Rv2521,bcp,Probable bacterioferritin comigratory protein Bcp
gene-Rv2522c,Rv2522c,Rv2522c,Conserved hypothetical protein
gene-Rv2523c,Rv2523c,acpS,holo-[acyl-carrier protein] synthase AcpS (holo-ACP synthase) (CoA:APO-[ACP]pantetheinephosphotransferase) (CoA:APO-[acyl-carrier protein]pantetheinephosphotransferase)
gene-Rv2524c,Rv2524c,fas,Probable fatty acid synthase Fas (fatty acid synthetase)
gene-Rv2525c,Rv2525c,Rv2525c,Conserved hypothetical protein. Secreted; predicted to be a substrate of the twin arginine translocation (tat) export system.
gene-Rv2526,Rv2526,Rv2526,Possible antitoxin VapB17
gene-Rv2527,Rv2527,vapC17,Possible toxin VapC17
gene-Rv2528c,Rv2528c,mrr,Probable restriction system protein Mrr
gene-Rv2529,Rv2529,Rv2529,Hypothetical protein
gene-Rv2530c,Rv2530c,vapC39,Possible toxin VapC39. Contains PIN domain.
gene-Rv2530A,Rv2530A,vapB39,Possible antitoxin VapB39
gene-Rv2531c,Rv2531c,Rv2531c,Probable amino acid decarboxylase
gene-Rv2532c,Rv2532c,Rv2532c,Hypothetical protein
gene-Rv2533c,Rv2533c,nusB,N utilization substance protein NusB (NusB protein)
gene-Rv2534c,Rv2534c,efp,Probable elongation factor P Efp
gene-Rv2535c,Rv2535c,pepQ,Probable cytoplasmic peptidase PepQ
gene-Rv2536,Rv2536,Rv2536,Probable conserved transmembrane protein
gene-Rv2537c,Rv2537c,aroD,3-dehydroquinate dehydratase AroD (AROQ) (3-dehydroquinase) (type II dhqase)
gene-Rv2538c,Rv2538c,aroB,3-dehydroquinate synthase AroB
gene-Rv2539c,Rv2539c,aroK,Shikimate kinase AroK (SK)
gene-Rv2540c,Rv2540c,aroF,Probable chorismate synthase AroF (5-enolpyruvylshikimate-3-phosphate phospholyase)
gene-Rv2541,Rv2541,Rv2541,Hypothetical alanine rich protein
gene-Rv2542,Rv2542,Rv2542,Conserved hypothetical protein
gene-Rv2543,Rv2543,lppA,Probable conserved lipoprotein LppA
gene-Rv2544,Rv2544,lppB,Probable conserved lipoprotein LppB
gene-Rv2545,Rv2545,vapB18,Possible antitoxin VapB18
gene-Rv2546,Rv2546,vapC18,Possible toxin VapC18
gene-Rv2547,Rv2547,Rv2547,Possible antitoxin VapB19
gene-Rv2548,Rv2548,vapC19,Possible toxin VapC19
gene-Rv2548A,Rv2548A,Rv2548A,Conserved protein
gene-Rv2549c,Rv2549c,vapC20,Possible toxin VapC20
gene-Rv2550c,Rv2550c,vapB20,Possible antitoxin VapB20
gene-Rv2551c,Rv2551c,Rv2551c,Conserved hypothetical protein
gene-Rv2552c,Rv2552c,aroE,Probable shikimate 5-dehydrogenase AroE (5-dehydroshikimate reductase)
gene-Rv2553c,Rv2553c,Rv2553c,Probable conserved membrane protein
gene-Rv2554c,Rv2554c,Rv2554c,Conserved protein
gene-Rv2555c,Rv2555c,alaS,Probable alanyl-tRNA synthetase AlaS (alanine--tRNA ligase) (alanine translase) (ALARS)
gene-Rv2556c,Rv2556c,Rv2556c,Conserved hypothetical protein
gene-Rv2557,Rv2557,Rv2557,Conserved protein
gene-Rv2558,Rv2558,Rv2558,Conserved protein
gene-Rv2559c,Rv2559c,Rv2559c,Conserved hypothetical alanine leucine valine rich protein
gene-Rv2560,Rv2560,Rv2560,Probable proline and glycine rich transmembrane protein
gene-Rv2561,Rv2561,Rv2561,Conserved hypothetical protein
gene-Rv2562,Rv2562,Rv2562,Conserved hypothetical protein
gene-Rv2563,Rv2563,Rv2563,Probable glutamine-transport transmembrane protein ABC transporter
gene-Rv2564,Rv2564,glnQ,Probable glutamine-transport ATP-binding protein ABC transporter GlnQ
gene-Rv2565,Rv2565,Rv2565,Conserved protein
gene-Rv2566,Rv2566,Rv2566,Long conserved protein
gene-Rv2567,Rv2567,Rv2567,Conserved hypothetical alanine and leucine rich protein
gene-Rv2568c,Rv2568c,Rv2568c,Conserved hypothetical protein
gene-Rv2569c,Rv2569c,Rv2569c,Conserved hypothetical protein
gene-Rv2570,Rv2570,Rv2570,Conserved hypothetical protein
gene-Rv2571c,Rv2571c,Rv2571c,Probable transmembrane alanine and valine and leucine rich protein
gene-Rv2572c,Rv2572c,aspS,Probable aspartyl-tRNA synthetase AspS (aspartate--tRNA ligase) (ASPRS) (aspartic acid translase)
gene-Rv2573,Rv2573,Rv2573,Conserved hypothetical protein
gene-Rv2574,Rv2574,Rv2574,Conserved protein
gene-Rv2575,Rv2575,Rv2575,Possible conserved membrane glycine rich protein
gene-Rv2576c,Rv2576c,Rv2576c,Possible conserved membrane protein
gene-Rv2577,Rv2577,Rv2577,Conserved protein
gene-Rv2578c,Rv2578c,Rv2578c,Conserved hypothetical protein
gene-Rv2579,Rv2579,dhaA,Possible haloalkane dehalogenase DhaA (1-chlorohexane halidohydrolase)
gene-Rv2580c,Rv2580c,hisS,Probable histidyl-tRNA synthetase HisS (histidine--tRNA ligase) (HISRS) (histidine--translase)
gene-Rv2581c,Rv2581c,Rv2581c,Possible glyoxalase II (hydroxyacylglutathione hydrolase) (GLX II)
gene-Rv2582,Rv2582,ppiB,Probable peptidyl-prolyl cis-trans isomerase B PpiB (cyclophilin) (PPIase) (rotamase) (peptidylprolyl isomerase)
gene-Rv2583c,Rv2583c,relA,Probable GTP pyrophosphokinase RelA (ATP:GTP 3'- pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase)
gene-Rv2584c,Rv2584c,apt,Adenine phosphoribosyltransferase Apt (APRT) (AMP diphosphorylase) (AMP pyrophosphorylase) (transphosphoribosidase)
gene-Rv2585c,Rv2585c,Rv2585c,Possible conserved lipoprotein
gene-Rv2586c,Rv2586c,secF,Probable protein-export membrane protein SecF
gene-Rv2587c,Rv2587c,secD,Probable protein-export membrane protein SecD
gene-Rv2588c,Rv2588c,yajC,Probable conserved membrane protein secretion factor YajC
gene-Rv2589,Rv2589,gabT,4-aminobutyrate aminotransferase GabT (gamma-amino-N-butyrate transaminase) (GABA transaminase) (glutamate:succinic semialdehyde transaminase) (GABA aminotransferase) (GABA-at)
gene-Rv2590,Rv2590,fadD9,Probable fatty-acid-CoA ligase FadD9 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv2591,Rv2591,PE-PGRS44,PE-PGRS family protein PE_PGRS44
gene-Rv2592c,Rv2592c,ruvB,Probable holliday junction DNA helicase RuvB
gene-Rv2593c,Rv2593c,ruvA,Probable holliday junction DNA helicase RuvA
gene-Rv2594c,Rv2594c,ruvC,Probable crossover junction endodeoxyribonuclease RuvC (holliday junction nuclease) (holliday junction resolvase)
gene-Rv2595,Rv2595,vapB40,Possible antitoxin VapB40
gene-Rv2596,Rv2596,Rv2596,Possible toxin VapC40. Contains PIN domain.
gene-Rv2597,Rv2597,Rv2597,Probable membrane protein
gene-Rv2598,Rv2598,Rv2598,Conserved hypothetical protein
gene-Rv2599,Rv2599,Rv2599,Probable conserved membrane protein
gene-Rv2600,Rv2600,Rv2600,Probable conserved integral membrane protein
gene-Rv2601,Rv2601,speE,Probable spermidine synthase SpeE (putrescine aminopropyltransferase) (aminopropyltransferase) (SPDSY)
gene-Rv2601A,Rv2601A,vapB41,Possible antitoxin VapB41
gene-Rv2602,Rv2602,vapC41,Possible toxin VapC41. Contains PIN domain.
gene-Rv2603c,Rv2603c,Rv2603c,Highly conserved protein
gene-Rv2604c,Rv2604c,snoP,Probable glutamine amidotransferase SnoP
gene-Rv2605c,Rv2605c,tesB2,Probable acyl-CoA thioesterase II TesB2 (TEII)
gene-Rv2606c,Rv2606c,snzP,Possible pyridoxine biosynthesis protein SnzP
gene-Rv2607,Rv2607,pdxH,Probable pyridoxamine 5'-phosphate oxidase PdxH (PNP/PMP oxidase) (pyridoxinephosphate oxidase) (PNPOX) (pyridoxine 5'-phosphate oxidase)
gene-Rv2608,Rv2608,PPE42,PPE family protein PPE42
gene-Rv2609c,Rv2609c,Rv2609c,Probable conserved membrane protein
gene-Rv2610c,Rv2610c,pimA,Alpha-mannosyltransferase PimA
gene-Rv2611c,Rv2611c,Rv2611c,Probable acyltransferase
gene-Rv2612c,Rv2612c,pgsA1,PI synthase PgsA1 (phosphatidylinositol synthase) (CDP-diacylglycerol--inositol-3-phosphatidyltransferase)
gene-Rv2613c,Rv2613c,Rv2613c,Conserved protein
gene-Rv2614c,Rv2614c,thrS,Probable threonyl-tRNA synthetase ThrS (threonine-tRNA synthetase)(ThrRS) (threonine-tRNA ligase)
gene-Rv2614A,Rv2614A,Rv2614A,Conserved hypothetical protein
gene-Rv2615c,Rv2615c,PE-PGRS45,PE-PGRS family protein PE_PGRS45
gene-Rv2616,Rv2616,Rv2616,Conserved protein
gene-Rv2617c,Rv2617c,Rv2617c,Probable transmembrane protein
gene-Rv2618,Rv2618,Rv2618,Conserved hypothetical protein
gene-Rv2619c,Rv2619c,Rv2619c,Conserved protein
gene-Rv2620c,Rv2620c,Rv2620c,Probable conserved transmembrane protein
gene-Rv2621c,Rv2621c,Rv2621c,Possible transcriptional regulatory protein
gene-Rv2622,Rv2622,Rv2622,Possible methyltransferase (methylase)
gene-Rv2623,Rv2623,TB31.7,Universal stress protein family protein TB31.7
gene-Rv2624c,Rv2624c,Rv2624c,Universal stress protein family protein
gene-Rv2625c,Rv2625c,Rv2625c,Probable conserved transmembrane alanine and leucine rich protein
gene-Rv2626c,Rv2626c,hrp1,Hypoxic response protein 1 Hrp1
gene-Rv2627c,Rv2627c,Rv2627c,Conserved protein
gene-Rv2628,Rv2628,Rv2628,Hypothetical protein
gene-Rv2629,Rv2629,Rv2629,Conserved protein
gene-Rv2630,Rv2630,Rv2630,Hypothetical protein
gene-Rv2631,Rv2631,Rv2631,Conserved hypothetical protein
gene-Rv2632c,Rv2632c,Rv2632c,Conserved protein
gene-Rv2633c,Rv2633c,Rv2633c,Hypothetical protein
gene-Rv2634c,Rv2634c,PE-PGRS46,PE-PGRS family protein PE_PGRS46
gene-Rv2635,Rv2635,Rv2635,Hypothetical protein
gene-Rv2636,Rv2636,Rv2636,Conserved hypothetical protein
gene-Rv2637,Rv2637,dedA,Possible transmembrane protein DedA
gene-Rv2638,Rv2638,Rv2638,Conserved hypothetical protein
gene-Rv2639c,Rv2639c,Rv2639c,Probable conserved integral membrane protein
gene-Rv2640c,Rv2640c,Rv2640c,Possible transcriptional regulatory protein (probably ArsR-family)
gene-Rv2641,Rv2641,cadI,Cadmium inducible protein CadI
gene-Rv2642,Rv2642,Rv2642,Possible transcriptional regulatory protein (probably ArsR-family)
gene-Rv2643,Rv2643,arsC,Probable arsenic-transport integral membrane protein ArsC
gene-Rv2644c,Rv2644c,Rv2644c,Hypothetical protein
gene-Rv2645,Rv2645,Rv2645,Hypothetical protein
gene-Rv2646,Rv2646,Rv2646,Probable integrase
gene-Rv2647,Rv2647,Rv2647,Hypothetical protein
gene-Rv2648,Rv2648,Rv2648,Probable transposase for insertion sequence element IS6110 (fragment)
gene-Rv2649,Rv2649,Rv2649,Probable transposase for insertion sequence element IS6110
gene-Rv2650c,Rv2650c,Rv2650c,Possible PhiRv2 prophage protein
gene-Rv2651c,Rv2651c,Rv2651c,Possible PhiRv2 prophage protease
gene-Rv2652c,Rv2652c,Rv2652c,Probable PhiRv2 prophage protein
gene-Rv2653c,Rv2653c,Rv2653c,Possible PhiRv2 prophage protein
gene-Rv2654c,Rv2654c,Rv2654c,Possible PhiRv2 prophage protein
gene-Rv2655c,Rv2655c,Rv2655c,Possible PhiRv2 prophage protein
gene-Rv2656c,Rv2656c,Rv2656c,Possible PhiRv2 prophage protein
gene-Rv2657c,Rv2657c,Rv2657c,Probable PhiRv2 prophage protein
gene-Rv2658c,Rv2658c,Rv2658c,Possible prophage protein
gene-Rv2659c,Rv2659c,Rv2659c,Probable PhiRv2 prophage integrase
gene-Rv2660c,Rv2660c,Rv2660c,Hypothetical protein
gene-Rv2661c,Rv2661c,Rv2661c,Hypothetical protein
gene-Rv2662,Rv2662,Rv2662,Hypothetical protein
gene-Rv2663,Rv2663,Rv2663,Hypothetical protein
gene-Rv2664,Rv2664,Rv2664,Hypothetical protein
gene-Rv2665,Rv2665,Rv2665,Hypothetical arginine rich protein
gene-Rv2666,Rv2666,Rv2666,Probable transposase for insertion sequence element IS1081 (fragment)
gene-Rv2667,Rv2667,clpC2,Possible ATP-dependent protease ATP-binding subunit ClpC2
gene-Rv2668,Rv2668,Rv2668,Possible exported alanine and valine rich protein
gene-Rv2669,Rv2669,Rv2669,GCN5-related N-acetyltransferase
gene-Rv2670c,Rv2670c,Rv2670c,Conserved hypothetical protein
gene-Rv2671,Rv2671,ribD,Possible bifunctional enzyme riboflavin biosynthesis protein RibD: diaminohydroxyphosphoribosylaminopyrimidine deaminase (riboflavin-specific deaminase) + 5-amino-6-(5-phosphoribosylamino)uracil reductase (HTP reductase)
gene-Rv2672,Rv2672,Rv2672,Possible secreted protease
gene-Rv2673,Rv2673,aftC,Possible arabinofuranosyltransferase AftC
gene-Rv2674,Rv2674,msrB,Probable peptide methionine sulfoxide reductase MsrB (protein-methionine-R-oxide reductase) (peptide met(O) reductase)
gene-Rv2675c,Rv2675c,Rv2675c,Conserved hypothetical protein
gene-Rv2676c,Rv2676c,Rv2676c,Conserved protein
gene-Rv2677c,Rv2677c,hemY,Probable protoporphyrinogen oxidase HemY (protoporphyrinogen-IX oxidase) (protoporphyrinogenase) (PPO)
gene-Rv2678c,Rv2678c,hemE,Probable uroporphyrinogen decarboxylase HemE (uroporphyrinogen III decarboxylase) (URO-D) (UPD)
gene-Rv2679,Rv2679,echA15,Probable enoyl-CoA hydratase EchA15 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv2680,Rv2680,Rv2680,Conserved protein
gene-Rv2681,Rv2681,Rv2681,Conserved hypothetical alanine rich protein
gene-Rv2682c,Rv2682c,dxs1,Probable 1-deoxy-D-xylulose 5-phosphate synthase Dxs1 (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)
gene-Rv2683,Rv2683,Rv2683,Conserved protein
gene-Rv2684,Rv2684,arsA,Probable arsenic-transport integral membrane protein ArsA
gene-Rv2685,Rv2685,arsB1,Probable arsenic-transport integral membrane protein ArsB1
gene-Rv2686c,Rv2686c,Rv2686c,Antibiotic-transport integral membrane leucine and alanine and valine rich protein ABC transporter
gene-Rv2687c,Rv2687c,Rv2687c,Antibiotic-transport integral membrane leucine and valine rich protein ABC transporter
gene-Rv2688c,Rv2688c,Rv2688c,Antibiotic-transport ATP-binding protein ABC transporter
gene-Rv2689c,Rv2689c,Rv2689c,Conserved alanine and valine and glycine rich protein
gene-Rv2690c,Rv2690c,Rv2690c,Probable conserved integral membrane alanine and valine and leucine rich protein
gene-Rv2691,Rv2691,ceoB,TRK system potassium uptake protein CeoB
gene-Rv2692,Rv2692,ceoC,TRK system potassium uptake protein CeoC
gene-Rv2693c,Rv2693c,Rv2693c,Probable conserved integral membrane alanine and leucine rich protein
